date,product_id,category,units_sold,units_ordered,price,discount(%),weather,season,demand,promotion,holiday
2022-01-01,P018,Makeup,3,4,499,0,Sunny,Winter,Medium,No,Yes
2022-01-01,P006,Electronics,3,5,3500,0,Sunny,Winter,Medium,No,Yes
2022-01-01,P018,Makeup,6,8,499,5,Sunny,Winter,High,Yes,Yes
2022-01-01,P011,Cold Beverages,3,5,20,0,Sunny,Winter,Low,No,Yes
2022-01-01,P029,Electronics,1,1,2800,0,Sunny,Winter,Low,No,Yes
2022-01-01,P023,Sweets,58,58,600,0,Sunny,Winter,High,No,Yes
2022-01-01,P006,Electronics,2,2,3500,0,Sunny,Winter,Medium,No,Yes
2022-01-01,P038,Utilities,2,2,450,0,Sunny,Winter,Medium,No,Yes
2022-01-01,P007,Groceries,7,7,250,0,Sunny,Winter,Low,No,Yes
2022-01-01,P036,Beauty,11,14,899,10,Sunny,Winter,High,Yes,Yes
2022-01-02,P036,Beauty,3,5,899,0,Sunny,Winter,Medium,No,Yes
2022-01-02,P038,Utilities,2,3,450,0,Sunny,Winter,Medium,No,Yes
2022-01-02,P036,Beauty,1,4,899,0,Sunny,Winter,Low,No,Yes
2022-01-02,P030,Groceries,15,16,150,10,Sunny,Winter,Medium,Yes,Yes
2022-01-02,P014,Utilities,5,8,600,0,Sunny,Winter,High,No,Yes
2022-01-02,P014,Utilities,1,3,600,0,Sunny,Winter,Low,No,Yes
2022-01-02,P021,Travel Necessaries,0,0,700,0,Sunny,Winter,Low,No,Yes
2022-01-02,P004,Electronics,2,2,15000,0,Sunny,Winter,Medium,No,Yes
2022-01-02,P011,Cold Beverages,7,9,20,0,Sunny,Winter,Medium,No,Yes
2022-01-02,P011,Cold Beverages,3,4,20,0,Sunny,Winter,Low,No,Yes
2022-01-02,P018,Makeup,2,2,499,0,Sunny,Winter,Low,No,Yes
2022-01-02,P018,Makeup,4,6,499,0,Sunny,Winter,Medium,No,Yes
2022-01-02,P015,Utilities,6,9,2000,0,Sunny,Winter,High,No,Yes
2022-01-02,P015,Utilities,6,6,2000,0,Sunny,Winter,High,No,Yes
2022-01-02,P037,Clothes,6,6,1500,5,Sunny,Winter,Medium,Yes,Yes
2022-01-02,P006,Electronics,2,4,3500,0,Sunny,Winter,Medium,No,Yes
2022-01-02,P008,Groceries,5,8,45,0,Sunny,Winter,Low,No,Yes
2022-01-02,P039,Cold Beverages,4,5,300,0,Sunny,Winter,Low,No,Yes
2022-01-03,P012,Cold Beverages,2,2,35,0,Cloudy,Winter,Low,No,No
2022-01-03,P039,Cold Beverages,9,9,300,0,Cloudy,Winter,Medium,No,No
2022-01-03,P035,Groceries,8,8,260,0,Cloudy,Winter,Medium,No,No
2022-01-03,P010,Hot Beverages,4,5,180,0,Cloudy,Winter,Low,No,No
2022-01-03,P020,Stationary,0,1,50,0,Cloudy,Winter,Low,No,No
2022-01-03,P030,Groceries,19,21,150,25,Cloudy,Winter,High,Yes,No
2022-01-03,P030,Groceries,7,7,150,0,Cloudy,Winter,Low,No,No
2022-01-03,P008,Groceries,10,12,45,0,Cloudy,Winter,Medium,No,No
2022-01-03,P039,Cold Beverages,7,10,300,25,Cloudy,Winter,Medium,Yes,No
2022-01-03,P008,Groceries,16,17,45,20,Cloudy,Winter,High,Yes,No
2022-01-03,P033,Clothes,12,12,899,0,Cloudy,Winter,High,No,No
2022-01-03,P022,Travel Necessaries,4,7,2500,10,Cloudy,Winter,High,Yes,No
2022-01-04,P037,Clothes,1,2,1500,0,Cold,Winter,Low,No,No
2022-01-04,P032,Groceries,11,12,120,0,Cold,Winter,Medium,No,No
2022-01-04,P005,Electronics,1,3,25000,0,Cold,Winter,Low,No,No
2022-01-04,P005,Electronics,2,4,25000,0,Cold,Winter,Medium,No,No
2022-01-04,P015,Utilities,10,10,2000,10,Cold,Winter,High,Yes,No
2022-01-04,P022,Travel Necessaries,2,3,2500,25,Cold,Winter,Medium,Yes,No
2022-01-04,P029,Electronics,0,3,2800,0,Cold,Winter,Low,No,No
2022-01-04,P008,Groceries,5,5,45,0,Cold,Winter,Low,No,No
2022-01-04,P014,Utilities,1,2,600,0,Cold,Winter,Low,No,No
2022-01-04,P017,Beauty,9,12,199,0,Cold,Winter,High,No,No
2022-01-04,P009,Hot Beverages,9,10,120,0,Cold,Winter,Medium,No,No
2022-01-04,P032,Groceries,8,9,120,0,Cold,Winter,Medium,No,No
2022-01-04,P037,Clothes,6,6,1500,0,Cold,Winter,Medium,No,No
2022-01-04,P020,Stationary,2,3,50,0,Cold,Winter,Low,No,No
2022-01-04,P020,Stationary,4,6,50,0,Cold,Winter,Low,No,No
2022-01-05,P014,Utilities,4,4,600,0,Sunny,Winter,High,No,No
2022-01-05,P021,Travel Necessaries,1,4,700,25,Sunny,Winter,Low,Yes,No
2022-01-05,P038,Utilities,0,0,450,0,Sunny,Winter,Low,No,No
2022-01-05,P010,Hot Beverages,10,11,180,5,Sunny,Winter,High,Yes,No
2022-01-05,P019,Stationary,8,11,60,0,Sunny,Winter,Medium,No,No
2022-01-05,P017,Beauty,4,7,199,0,Sunny,Winter,Medium,No,No
2022-01-05,P011,Cold Beverages,6,9,20,0,Sunny,Winter,Medium,No,No
2022-01-05,P011,Cold Beverages,8,11,20,0,Sunny,Winter,Medium,No,No
